company,major_index_membership,market_capitalization,income_ttm,revenue_ttm,book_value_per_share_mrq,cash_per_share_mrq,dividend_annual,dividend_yield_annual,full_time_employees,has_options,stock_available_to_sell_short,analysts_mean_recommendation_1buy_5sell,pricetosales_ttm,pricetobook_mrq,price_to_cash_per_share_mrq,price_to_free_cash_flow_ttm,quick_ratio_mrq,current_ratio_mrq,total_debt_to_equity_mrq,long_term_debt_to_equity_mrq,distance_from_20day_simple_moving_averag,diluted_eps_ttm,eps_estimate_for_next_year,eps_estimate_for_next_quarter,eps_growth_this_year,eps_growth_next_year,long_term_annual_growth_estimate_5_years,annual_eps_growth_past_5_years,annual_sales_growth_past_5_years,quarterly_revenue_growth_yoy,distance_from_50day_simple_moving_averag,insider_ownership,insider_transactions_6month_change_in_in,institutional_ownership,institutional_transactions_3month_change,return_on_assets_ttm,return_on_equity_ttm,return_on_investment_ttm,gross_margin_ttm,operating_margin_ttm,net_profit_margin_ttm,dividend_payout_ratio_ttm,distance_from_200day_simple_moving_avera,shares_outstanding,shares_float,short_interest,analysts_mean_target_price,distance_from_52week_high,distance_from_52week_low,relative_strength_index,relative_volume,average_volume_3_month,volume,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_year_to_date,beta,average_true_range_14,previous_close,current_stock_price,performance_today,low_52w,high_52w,volatility_week,volatility_month,earnings_date,short_interest_share,short_interest_ratio,size_group,log_market_cap
A,S&P 500,41050000000.0,1320000000.0,6930000000.0,18.95,,0.9,0.0064,18300.0,,,1.9,5.92,7.44,,50.87,1.5,2.1,0.53,0.49,-0.030699999999999998,4.43,6.31,1.26,0.061,0.10830000000000001,0.1367,0.14800000000000002,0.08900000000000001,0.049,-0.059699999999999996,0.003,-0.2261,0.907,-0.0331,0.125,0.25,0.16899999999999998,0.545,0.24100000000000002,0.191,0.18899999999999997,0.0323,,,,164.29,-0.11789999999999999,0.2564,40.3,0.47,,312065,-0.0021,-0.085,-0.0659,0.0756,0.0932,-0.0553,1.04,3.27,140.9,141.37,0.0033,112.52,160.26,0.023700000000000002,0.0209,31.77,0.0102,2.33,Mid,24.438056672844848
AAL,S&P 500,10650000000.0,127000000.0,48970000000.0,-8.91,13.97,,,129700.0,,,3.0,0.22,,1.19,5.87,0.6,0.7,,,0.0077,0.11,2.87,0.01,1.063,0.4364,,-0.461,0.027999999999999997,0.39899999999999997,0.0409,0.001,-0.12990000000000002,0.555,0.0149,0.002,-0.016,0.052000000000000005,0.579,0.033,0.003,0.0,0.1328,,,,16.57,-0.2364,0.40380000000000005,53.77,0.61,,7890314,0.0147,-0.0356,0.1414,0.1776,0.2107,0.2859,1.56,0.48,16.59,16.36,-0.0141,11.65,21.42,0.0265,0.0273,150.82,0.1127,2.88,Small,23.088825729101845
AAP,S&P 500,7880000000.0,501900000.0,11150000000.0,45.06,4.52,6.0,0.0454,40000.0,,,2.7,0.71,2.93,29.26,,0.2,1.1,0.51,0.44,-0.08199999999999999,8.26,11.9,2.69,-0.135,0.06269999999999999,0.058499999999999996,0.131,0.035,0.032,-0.10400000000000001,0.002,0.0,0.9837,-0.035,0.042,0.18100000000000002,0.138,0.445,0.063,0.045,0.541,-0.2137,,,,153.42,-0.429,0.0092,28.7,0.79,,454142,-0.0508,-0.1276,-0.092,-0.2589,-0.34119999999999995,-0.1013,1.15,3.7,132.21,132.14,-0.0005,130.94,231.43,0.0208,0.0239,16.0,0.0579,3.06,Small,22.7875937408162
AAPL,DJIA NDX S&P 500,2336710000000.0,95170000000.0,387540000000.0,3.57,3.36,0.92,0.006,164000.0,,,2.0,6.03,42.82,45.5,28.28,0.9,0.9,1.96,1.76,0.022099999999999998,5.89,6.59,1.43,0.08900000000000001,0.1041,0.08130000000000001,0.21600000000000003,0.115,-0.055,0.079,0.0007000000000000001,-0.0473,0.601,-0.0048,0.275,1.635,0.583,0.431,0.294,0.24600000000000002,0.154,0.044500000000000005,,,,168.34,-0.1431,0.2396,60.06,0.59,,22342699,0.054900000000000004,-0.0048,0.077,-0.0131,-0.022400000000000003,0.18460000000000001,1.29,3.3,152.87,153.91,0.0068000000000000005,124.17,179.61,0.0187,0.018600000000000002,25.97,0.0066,1.42,Large,28.479765073070787
ABBV,S&P 500,261850000000.00003,11780000000.0,58050000000.0,9.74,5.27,5.92,0.039599999999999996,50000.0,,,2.4,4.51,15.36,28.37,18.43,0.8,1.0,3.67,3.43,-0.019,6.63,11.1,2.63,0.027000000000000003,-0.0027,-0.025,0.133,0.155,0.016,-0.025,0.0012,-0.1036,0.7090000000000001,0.001,0.083,0.7340000000000001,0.205,0.715,0.312,0.203,0.848,0.0015,,,,163.22,-0.1516,0.1131,42.36,0.58,,1706632,-0.0332,0.028300000000000002,-0.08839999999999999,0.076,0.0143,-0.0765,0.55,2.8,149.6,149.25,-0.0023,134.09,175.91,0.0191,0.018600000000000002,22.57,0.0066,2.06,Large,26.291037657671907
ABC,S&P 500,30470000000.0,1730000000.0,241810000000.0,-0.87,,1.94,0.0128,39000.0,,,2.1,0.13,,,18.3,0.5,0.9,,,-0.0453,8.24,12.59,3.3,0.08900000000000001,0.0823,0.0738,0.374,0.09300000000000001,0.054000000000000006,-0.0675,0.002,-0.9797,0.7240000000000001,0.0001,0.03,,0.345,0.035,0.01,0.006999999999999999,0.22399999999999998,-0.0139,,,,185.0,-0.1393,0.11230000000000001,31.63,0.67,,492848,-0.0296,-0.041299999999999996,-0.11230000000000001,0.0167,0.0409,-0.0929,0.52,3.04,151.86,150.31,-0.0102,135.14,174.63,0.018500000000000003,0.0191,18.44,0.018600000000000002,2.13,Mid,24.14000842994403
ABT,S&P 500,169740000000.0,6930000000.0,43650000000.0,21.04,5.96,2.04,0.020499999999999997,115000.0,,,2.0,3.89,4.72,16.69,37.76,1.2,1.6,0.46,0.4,-0.042,3.92,4.85,0.99,-0.006,0.1003,0.083,0.305,0.098,-0.12,-0.08,0.004,-0.0148,0.762,0.0027,0.094,0.192,0.13,0.561,0.192,0.159,0.35700000000000004,-0.0642,,,,123.5,-0.1977,0.07,35.26,0.69,,1709907,-0.0278,-0.109,-0.0393,-0.047,-0.1406,-0.09119999999999999,0.67,2.0,99.4,99.78,0.0038,93.25,124.36,0.0213,0.0199,25.32,0.0076,2.75,Large,25.85753369148794
ACN,S&P 500,171050000000.0,7050000000.0,62380000000.0,36.46,9.1,4.48,0.017,721000.0,,,2.1,2.74,7.23,28.97,27.05,1.3,1.3,0.0,0.0,-0.0298,11.01,12.62,3.08,0.17,0.098,0.1038,0.145,0.11199999999999999,0.052000000000000005,-0.0347,0.001,-0.1251,0.754,0.011899999999999999,0.153,0.324,0.319,0.32,0.151,0.113,0.361,-0.058499999999999996,,,,317.02,-0.2305,0.09359999999999999,41.39,0.52,,585642,0.0016,-0.07690000000000001,-0.0691,-0.0735,-0.1191,-0.0043,1.24,5.37,263.66,265.69,0.0077,242.95,345.3,0.015700000000000002,0.017,23.94,0.008100000000000001,2.44,Large,25.865221748370026
ADBE,NDX S&P 500,153470000000.0,4760000000.0,17610000000.0,30.09,13.74,,,29239.0,,,2.2,8.72,11.49,25.18,20.75,1.1,1.1,0.29,0.26,-0.014499999999999999,10.1,17.51,3.76,0.006999999999999999,0.1439,0.1356,0.245,0.192,0.10099999999999999,-0.0171,0.0034000000000000002,-0.0318,0.841,-0.0074,0.179,0.33899999999999997,0.267,0.877,0.34600000000000003,0.27,0.0,-0.0302,,,,387.81,-0.2691,0.2597,48.06,0.98,,1466964,0.0378,-0.0983,0.0451,-0.0886,-0.198,0.028399999999999998,1.28,9.68,345.84,346.09,0.0007000000000000001,274.73,473.49,0.0263,0.024300000000000002,34.26,0.011399999999999999,1.8,Large,25.756770945133415
ADI,NDX S&P 500,93540000000.0,3430000000.0,12580000000.0,72.04,3.33,3.44,0.0184,24450.0,,,2.0,7.44,2.59,55.99,34.72,1.5,2.1,0.0,0.18,0.0111,6.62,10.93,2.75,0.516,0.0207,0.1082,0.18100000000000002,0.18,0.21100000000000002,0.0676,0.0036,-0.0381,0.893,0.0022,0.068,0.094,0.068,0.6559999999999999,0.322,0.273,0.456,0.15810000000000002,,,,216.81,-0.048600000000000004,0.4,59.57,0.68,,1150758,0.0123,0.0323,0.1223,0.24,0.2582,0.1392,1.15,3.99,186.57,186.87,0.0016,133.48,196.41,0.0209,0.0204,28.17,0.010700000000000001,1.64,Large,25.26165498924415
ADM,S&P 500,43530000000.0,4340000000.0,101560000000.0,43.91,1.9,1.8,0.0225,42000.0,,,2.2,0.43,1.82,41.97,34.55,0.9,1.5,0.38,0.32,-0.019799999999999998,7.7,6.66,1.76,0.613,-0.0352,-0.027999999999999997,0.294,0.10800000000000001,0.12300000000000001,-0.057699999999999994,0.002,-0.3876,0.818,-0.0105,0.071,0.18,0.098,0.075,0.040999999999999995,0.043,0.207,-0.0737,,,,102.92,-0.1961,0.1352,36.57,0.47,,774159,-0.0134,-0.0383,-0.125,-0.08869999999999999,-0.0438,-0.1439,0.8,1.47,79.91,79.49,-0.0053,70.02,98.88,0.0174,0.0175,10.38,0.0127,2.17,Mid,24.49671619251062
ADP,NDX S&P 500,91070000000.0,3150000000.0,17250000000.0,7.21,3.32,5.0,0.0225,60000.0,,,3.0,5.28,30.79,66.9,57.99,1.0,1.0,1.0,1.0,-0.0070999999999999995,7.53,9.01,2.44,0.154,0.1093,0.1343,0.12,0.059000000000000004,0.091,-0.0348,0.001,-0.46409999999999996,0.8190000000000001,0.008100000000000001,0.053,0.9690000000000001,0.47100000000000003,0.43700000000000006,0.237,0.182,0.55,-0.0512,,,,247.81,-0.1912,0.1309,43.82,0.4,,398554,-0.0009,-0.0195,-0.1399,-0.0801,0.08259999999999999,-0.0691,0.82,3.74,221.97,222.35,0.0017000000000000001,196.61,274.92,0.0144,0.0161,29.49,0.011699999999999999,2.48,Large,25.234894278526138
ADSK,NDX S&P 500,42780000000.0,823000000.0,5000000000.0,4.19,8.62,,,12600.0,,,2.1,8.55,48.81,23.71,26.06,0.7,0.7,2.9,2.52,-0.0323,3.78,8.34,1.55,-0.588,0.1537,0.171,0.23399999999999999,0.166,0.13699999999999998,0.0001,0.001,-0.0192,0.95,0.021,0.066,0.7020000000000001,0.158,0.904,0.158,0.111,0.0,0.0246,,,,231.93,-0.12359999999999999,0.262,47.32,0.54,,373095,0.024,-0.0791,0.0583,-0.0011,0.051100000000000007,0.10220000000000001,1.53,6.76,204.51,205.96,0.0070999999999999995,163.2,235.01,0.0276,0.0275,54.06,0.0108,1.72,Mid,24.47933654060067
AEE,S&P 500,21430000000.0,1070000000.0000001,7960000000.0,40.57,0.97,2.52,0.030299999999999997,9244.0,,,2.2,2.69,2.05,85.73,13.2,0.6,0.8,1.44,1.3,-0.0022,4.14,4.69,0.98,0.077,0.0738,0.0664,0.083,0.052000000000000005,0.324,-0.0264,0.002,-0.2006,0.8,-0.0168,0.028999999999999998,0.106,0.052000000000000005,0.723,0.19,0.135,0.426,-0.0393,,,,92.82,-0.15109999999999998,0.1492,48.02,0.39,,278405,0.0223,-0.0207,-0.0353,-0.1192,-0.0403,-0.053,0.44,1.58,83.15,84.21,0.0127,73.28,99.2,0.0202,0.0182,20.09,0.0148,2.74,Mid,23.7880576464319
AEP,NDX S&P 500,45320000000.0,2310000000.0,19640000000.0,46.59,1.37,3.32,0.037200000000000004,16974.0,,,2.3,2.31,1.92,65.03,12.8,0.6,0.6,1.67,1.41,0.0102,4.5,5.64,1.34,-0.094,0.065,0.061,0.033,0.049,0.20199999999999999,-0.0195,0.0003,-0.2892,0.757,0.0034000000000000002,0.025,0.096,0.054000000000000006,0.639,0.177,0.11699999999999999,0.703,-0.0414,,,,103.0,-0.1407,0.1301,50.99,0.51,,734734,0.0313,-0.0167,-0.0584,-0.1336,-0.0473,-0.0443,0.45,1.8,89.3,90.74,0.016200000000000003,80.3,105.6,0.0195,0.019799999999999998,19.84,0.0127,2.35,Large,24.537014273106216
AES,S&P 500,16230000000.0,-546000000.0,12620000000.0,2.97,3.2,0.66,0.0269,9100.0,,,1.8,1.29,8.32,7.71,,1.0,1.2,14.7,13.6,-0.0181,-1.19,1.91,0.35,-0.318,0.1096,0.08070000000000001,-0.028999999999999998,0.037000000000000005,0.105,-0.057999999999999996,0.0033,-0.2568,0.9740000000000001,0.0034000000000000002,-0.015,-0.256,0.022000000000000002,0.20199999999999999,0.064,-0.043,,0.003,,,,31.0,-0.1629,0.34369999999999995,41.92,0.42,,895469,0.0154,-0.053,-0.1106,-0.0795,0.1605,-0.13,0.94,0.64,24.72,25.02,0.0121,18.62,29.89,0.0235,0.024700000000000003,,0.0178,2.89,Small,23.51012721847291
AFL,S&P 500,39960000000.0,4200000000.0,19530000000.0,36.09,6.52,1.68,0.0254,12882.0,,,2.9,2.05,1.83,10.13,13.78,,,0.33,0.33,-0.0461,6.56,6.04,1.41,0.031,0.065,0.0113,0.145,-0.021,-0.262,-0.0721,0.001,-0.158,0.606,-0.009000000000000001,0.031,0.16399999999999998,0.149,,0.247,0.215,0.243,0.0282,,,,71.5,-0.1153,0.2575,29.81,0.6,,803621,-0.0308,-0.0639,-0.0789,0.0759,0.10550000000000001,-0.0898,0.94,1.29,66.12,65.48,-0.0097,52.07,74.01,0.0197,0.0174,10.08,0.0183,3.93,Mid,24.411144790726762
AIG,S&P 500,42160000000.0,10250000000.0,56440000000.0,53.06,2.78,1.28,0.0223,26200.0,,,2.3,0.75,1.08,20.64,13.07,,,0.69,0.63,-0.0676,12.79,7.33,1.51,0.20199999999999999,0.1772,0.1598,0.816,0.026000000000000002,-0.17800000000000002,-0.0875,0.0034000000000000002,0.0,0.92,-0.0308,0.019,0.23,0.18600000000000003,,0.273,0.182,0.099,-0.0034000000000000002,,,,71.0,-0.1407,0.2004,28.26,0.84,,1937597,-0.0591,-0.0681,-0.08449999999999999,0.0518,0.0184,-0.1069,1.16,1.27,57.35,56.48,-0.0152,47.05,65.73,0.0227,0.0204,4.49,0.0073,1.19,Mid,24.46473774117952
